name	type
MEG0113	MEG
MEG0112	MEG
MEG0111	MEG
MEG0122	MEG
MEG0123	MEG
MEG0121	MEG
MEG0132	MEG
MEG0133	MEG
MEG0131	MEG
MEG0143	MEG
MEG0142	MEG
MEG0141	MEG
MEG0213	MEG
MEG0212	MEG
MEG0211	MEG
MEG0222	MEG
MEG0223	MEG
MEG0221	MEG
MEG0232	MEG
MEG0233	MEG
MEG0231	MEG
MEG0243	MEG
MEG0242	MEG
MEG0241	MEG
MEG0313	MEG
MEG0312	MEG
MEG0311	MEG
MEG0322	MEG
MEG0323	MEG
MEG0321	MEG
MEG0333	MEG
MEG0332	MEG
MEG0331	MEG
MEG0343	MEG
MEG0342	MEG
MEG0341	MEG
MEG0413	MEG
MEG0412	MEG
MEG0411	MEG
MEG0422	MEG
MEG0423	MEG
MEG0421	MEG
MEG0432	MEG
MEG0433	MEG
MEG0431	MEG
MEG0443	MEG
MEG0442	MEG
MEG0441	MEG
MEG0513	MEG
MEG0512	MEG
MEG0511	MEG
MEG0523	MEG
MEG0522	MEG
MEG0521	MEG
MEG0532	MEG
MEG0533	MEG
MEG0531	MEG
MEG0542	MEG
MEG0543	MEG
MEG0541	MEG
MEG0613	MEG
MEG0612	MEG
MEG0611	MEG
MEG0622	MEG
MEG0623	MEG
MEG0621	MEG
MEG0633	MEG
MEG0632	MEG
MEG0631	MEG
MEG0642	MEG
MEG0643	MEG
MEG0641	MEG
MEG0713	MEG
MEG0712	MEG
MEG0711	MEG
MEG0723	MEG
MEG0722	MEG
MEG0721	MEG
MEG0733	MEG
MEG0732	MEG
MEG0731	MEG
MEG0743	MEG
MEG0742	MEG
MEG0741	MEG
MEG0813	MEG
MEG0812	MEG
MEG0811	MEG
MEG0822	MEG
MEG0823	MEG
MEG0821	MEG
MEG0913	MEG
MEG0912	MEG
MEG0911	MEG
MEG0923	MEG
MEG0922	MEG
MEG0921	MEG
MEG0932	MEG
MEG0933	MEG
MEG0931	MEG
MEG0942	MEG
MEG0943	MEG
MEG0941	MEG
MEG1013	MEG
MEG1012	MEG
MEG1011	MEG
MEG1023	MEG
MEG1022	MEG
MEG1021	MEG
MEG1032	MEG
MEG1033	MEG
MEG1031	MEG
MEG1043	MEG
MEG1042	MEG
MEG1041	MEG
MEG1112	MEG
MEG1113	MEG
MEG1111	MEG
MEG1123	MEG
MEG1122	MEG
MEG1121	MEG
MEG1133	MEG
MEG1132	MEG
MEG1131	MEG
MEG1142	MEG
MEG1143	MEG
MEG1141	MEG
MEG1213	MEG
MEG1212	MEG
MEG1211	MEG
MEG1223	MEG
MEG1222	MEG
MEG1221	MEG
MEG1232	MEG
MEG1233	MEG
MEG1231	MEG
MEG1243	MEG
MEG1242	MEG
MEG1241	MEG
MEG1312	MEG
MEG1313	MEG
MEG1311	MEG
MEG1323	MEG
MEG1322	MEG
MEG1321	MEG
MEG1333	MEG
MEG1332	MEG
MEG1331	MEG
MEG1342	MEG
MEG1343	MEG
MEG1341	MEG
MEG1412	MEG
MEG1413	MEG
MEG1411	MEG
MEG1423	MEG
MEG1422	MEG
MEG1421	MEG
MEG1433	MEG
MEG1432	MEG
MEG1431	MEG
MEG1442	MEG
MEG1443	MEG
MEG1441	MEG
MEG1512	MEG
MEG1513	MEG
MEG1511	MEG
MEG1522	MEG
MEG1523	MEG
MEG1521	MEG
MEG1533	MEG
MEG1532	MEG
MEG1531	MEG
MEG1543	MEG
MEG1542	MEG
MEG1541	MEG
MEG1613	MEG
MEG1612	MEG
MEG1611	MEG
MEG1622	MEG
MEG1623	MEG
MEG1621	MEG
MEG1632	MEG
MEG1633	MEG
MEG1631	MEG
MEG1643	MEG
MEG1642	MEG
MEG1641	MEG
MEG1713	MEG
MEG1712	MEG
MEG1711	MEG
MEG1722	MEG
MEG1723	MEG
MEG1721	MEG
MEG1732	MEG
MEG1733	MEG
MEG1731	MEG
MEG1743	MEG
MEG1742	MEG
MEG1741	MEG
MEG1813	MEG
MEG1812	MEG
MEG1811	MEG
MEG1822	MEG
MEG1823	MEG
MEG1821	MEG
MEG1832	MEG
MEG1833	MEG
MEG1831	MEG
MEG1843	MEG
MEG1842	MEG
MEG1841	MEG
MEG1912	MEG
MEG1913	MEG
MEG1911	MEG
MEG1923	MEG
MEG1922	MEG
MEG1921	MEG
MEG1932	MEG
MEG1933	MEG
MEG1931	MEG
MEG1943	MEG
MEG1942	MEG
MEG1941	MEG
MEG2013	MEG
MEG2012	MEG
MEG2011	MEG
MEG2023	MEG
MEG2022	MEG
MEG2021	MEG
MEG2032	MEG
MEG2033	MEG
MEG2031	MEG
MEG2042	MEG
MEG2043	MEG
MEG2041	MEG
MEG2113	MEG
MEG2112	MEG
MEG2111	MEG
MEG2122	MEG
MEG2123	MEG
MEG2121	MEG
MEG2133	MEG
MEG2132	MEG
MEG2131	MEG
MEG2143	MEG
MEG2142	MEG
MEG2141	MEG
MEG2212	MEG
MEG2213	MEG
MEG2211	MEG
MEG2223	MEG
MEG2222	MEG
MEG2221	MEG
MEG2233	MEG
MEG2232	MEG
MEG2231	MEG
MEG2242	MEG
MEG2243	MEG
MEG2241	MEG
MEG2312	MEG
MEG2313	MEG
MEG2311	MEG
MEG2323	MEG
MEG2322	MEG
MEG2321	MEG
MEG2332	MEG
MEG2333	MEG
MEG2331	MEG
MEG2343	MEG
MEG2342	MEG
MEG2341	MEG
MEG2412	MEG
MEG2413	MEG
MEG2411	MEG
MEG2423	MEG
MEG2422	MEG
MEG2421	MEG
MEG2433	MEG
MEG2432	MEG
MEG2431	MEG
MEG2442	MEG
MEG2443	MEG
MEG2441	MEG
MEG2512	MEG
MEG2513	MEG
MEG2511	MEG
MEG2522	MEG
MEG2523	MEG
MEG2521	MEG
MEG2533	MEG
MEG2532	MEG
MEG2531	MEG
MEG2543	MEG
MEG2542	MEG
MEG2541	MEG
MEG2612	MEG
MEG2613	MEG
MEG2611	MEG
MEG2623	MEG
MEG2622	MEG
MEG2621	MEG
MEG2633	MEG
MEG2632	MEG
MEG2631	MEG
MEG2642	MEG
MEG2643	MEG
MEG2641	MEG
EEG001	EEG
EEG002	EEG
EEG003	EEG
EEG004	EEG
EEG005	EEG
EEG006	EEG
EEG007	EEG
EEG008	EEG
EEG009	EEG
EEG010	EEG
EEG011	EEG
EEG012	EEG
EEG013	EEG
EEG014	EEG
EEG015	EEG
EEG016	EEG
EEG017	EEG
EEG018	EEG
EEG019	EEG
EEG020	EEG
EEG021	EEG
EEG022	EEG
EEG023	EEG
EEG024	EEG
EEG025	EEG
EEG026	EEG
EEG027	EEG
EEG028	EEG
EEG029	EEG
EEG030	EEG
EEG031	EEG
EEG032	EEG
EEG033	EEG
EEG034	EEG
EEG035	EEG
EEG036	EEG
EEG037	EEG
EEG038	EEG
EEG039	EEG
EEG040	EEG
EEG041	EEG
EEG042	EEG
EEG043	EEG
EEG044	EEG
EEG045	EEG
EEG046	EEG
EEG047	EEG
EEG048	EEG
EEG049	EEG
EEG050	EEG
EEG051	EEG
EEG052	EEG
EEG053	EEG
EEG054	EEG
EEG055	EEG
EEG056	EEG
EEG057	EEG
EEG058	EEG
EEG059	EEG
EEG060	EEG
EEG061	EEG
EEG062	EEG
EEG063	EEG
EEG064	EEG
EEG065	EEG
EEG066	EEG
EEG067	EEG
EEG068	EEG
EEG069	EEG
EEG070	EEG
EEG071	EEG
EEG072	EEG
EEG073	EEG
EEG074	EEG
STI101	TRIG
STI201	TRIG
STI301	TRIG
MISC201	MISC
MISC202	MISC
MISC203	MISC
MISC204	MISC
MISC205	MISC
MISC206	MISC
MISC301	MISC
MISC302	MISC
MISC303	MISC
MISC304	MISC
MISC305	MISC
MISC306	MISC
